BaldwinB,BaldwinG,BaldwinR,NovaB,NovaG,NovaR,VansB,VansG,VansR,number,ppm
240,251,231,243,250,237,255,255,240,1,0.1
224,235,215,224,231,216,240,247,226,2,0.1
237,245,228,236,243,230,249,255,236,3,0.1
239,249,232,241,248,233,251,251,237,4,0.1
223,235,215,221,231,215,236,243,222,5,0.1
233,242,222,231,238,225,242,251,231,6,0.1
241,251,234,240,247,232,255,255,245,7,0.1
233,244,224,236,245,232,248,251,236,8,0.1
233,244,224,234,244,228,247,253,234,9,0.1
245,251,232,243,246,230,255,254,240,1,0.2
224,235,215,229,232,216,243,246,224,2,0.2
235,244,223,237,240,224,251,253,233,3,0.2
242,251,231,245,248,232,254,254,242,4,0.2
227,236,216,228,231,215,241,242,222,5,0.2
238,246,229,238,244,227,251,253,234,6,0.2
243,252,232,246,249,234,255,255,241,7,0.2
237,246,226,236,242,225,253,255,235,8,0.2
238,244,225,239,242,226,250,252,232,9,0.2
241,249,232,243,247,235,255,255,241,1,0.4
227,236,216,230,235,220,245,250,229,2,0.4
233,239,220,237,242,227,250,252,232,3,0.4
243,252,232,244,249,234,255,255,243,4,0.4
226,235,214,223,228,213,243,249,226,5,0.4
234,243,223,236,241,226,255,252,231,6,0.4
244,253,233,245,250,235,251,252,236,7,0.4
240,249,229,240,245,230,254,254,242,8,0.4
234,243,223,235,240,225,245,250,229,9,0.4
241,251,234,240,246,235,252,255,240,1,0.6
229,239,222,231,236,221,240,249,228,2,0.6
235,246,226,236,240,228,248,255,234,3,0.6
240,250,233,245,249,237,255,255,243,4,0.6
222,234,212,224,228,216,239,244,223,5,0.6
233,243,226,235,239,228,250,254,235,6,0.6
243,251,234,247,249,237,254,254,242,7,0.6
241,250,230,241,242,232,249,252,236,8,0.6
237,247,230,234,238,226,250,254,235,9,0.6
243,249,230,245,248,233,252,251,237,1,0.8
232,239,218,232,232,218,242,245,223,2,0.8
237,243,224,237,239,227,252,254,234,3,0.8
242,248,229,247,249,237,255,255,246,4,0.8
220,227,206,226,229,214,237,240,218,5,0.8
236,241,220,237,237,223,251,252,232,6,0.8
246,252,233,248,250,238,255,255,247,7,0.8
236,243,222,241,244,229,252,253,233,8,0.8
236,242,223,242,245,230,251,252,236,9,0.8
244,253,232,244,249,234,255,255,239,1,1.0
236,246,223,235,236,220,243,249,224,2,1.0
233,242,221,241,242,226,253,255,232,3,1.0
240,251,231,246,249,234,255,254,243,4,1.0
221,231,208,226,229,213,234,240,215,5,1.0
233,244,224,238,243,228,248,254,231,6,1.0
245,254,234,245,248,233,255,255,243,7,1.0
242,249,228,240,243,228,253,253,237,8,1.0
236,245,224,239,242,227,254,254,236,9,1.0
242,251,231,243,244,234,254,254,240,1,1.2
234,243,223,235,239,228,245,247,227,2,1.2
238,246,229,242,243,233,252,253,237,3,1.2
245,253,236,244,248,237,255,255,244,4,1.2
221,233,211,226,230,219,233,235,215,5,1.2
233,243,226,239,240,230,249,251,232,6,1.2
243,249,230,246,247,237,255,253,239,7,1.2
242,250,233,249,250,240,255,255,245,8,1.2
239,247,230,239,243,232,252,253,237,9,1.2
242,250,233,245,247,235,255,255,248,1,1.4
229,238,218,226,226,214,251,255,235,2,1.4
235,241,224,234,233,223,254,255,239,3,1.4
246,252,233,249,249,237,255,255,249,4,1.4
167,158,155,171,162,158,178,166,160,5,1.4
255,255,234,237,236,226,255,255,235,6,1.4
242,250,233,237,239,227,255,255,246,7,1.4
128,128,128,128,128,128,128,128,128,8,1.4
236,244,227,237,236,226,255,255,241,9,1.4
